algorithm,time,nodes_expanded,total_path_cost,n_steps
BFS,265.85109877586365,54623,474.46507883870737,356
DFS,0.11836361885070801,995,959.9524522540012,769
A-STAR,0.14506292343139648,725,501.15137033972263,386
UCS,483.00869393348694,54623,462.13917703090254,359
